"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.167754370E-1,-2.394201607E-2,9.097966552E-2,9.799766541E0,9.800218098E0
6.187752030E-1,-3.830722719E-2,1.005564705E-1,9.790189743E0,9.790781085E0
6.207749690E-1,-4.070143029E-2,1.053448766E-1,9.787796021E0,9.788447532E0
6.227747350E-1,-3.351882473E-2,1.029506698E-1,9.794978142E0,9.795576509E0
6.247745010E-1,-2.873042040E-2,1.029506698E-1,9.794978142E0,9.795561295E0
6.267744340E-1,-2.873042040E-2,1.029506698E-1,9.785401344E0,9.785985068E0
6.287742000E-1,-3.112462163E-2,9.097966552E-2,9.787796021E0,9.788268334E0
6.307744330E-1,-2.873042040E-2,9.816227108E-2,9.783007622E0,9.783542272E0
6.327741990E-1,-3.112462163E-2,1.029506698E-1,9.787796021E0,9.788386921E0
6.347739650E-1,-3.830722719E-2,9.816227108E-2,9.785401344E0,9.785968667E0
6.367737310E-1,-3.591302410E-2,9.097966552E-2,9.783007622E0,9.783496572E0
6.387734970E-1,-2.394201607E-2,8.140286058E-2,9.790189743E0,9.790557433E0
6.407732630E-1,-3.112462163E-2,8.619125932E-2,9.792584419E0,9.793013187E0
6.427730290E-1,-3.351882473E-2,9.097966552E-2,9.804554939E0,9.805034338E0
6.447727950E-1,-3.830722719E-2,9.337386489E-2,9.804554939E0,9.805074384E0
6.467725950E-1,-5.027823523E-2,9.097966552E-2,9.790189743E0,9.790741566E0
6.487723280E-1,-4.309562966E-2,9.097966552E-2,9.794978142E0,9.795495461E0
6.507721940E-1,-5.027823523E-2,9.816227108E-2,9.794978142E0,9.795599039E0
6.527719270E-1,-5.746084079E-2,1.125274822E-1,9.794978142E0,9.795793025E0
6.547716600E-1,-4.788403213E-2,1.053448766E-1,9.790189743E0,9.790873589E0
6.567713930E-1,-5.027823523E-2,1.005564705E-1,9.785401344E0,9.786047158E0
6.587711260E-1,-5.027823523E-2,9.816227108E-2,9.780612946E0,9.781234755E0
6.607708590E-1,-4.548983276E-2,9.337386489E-2,9.778219223E0,9.778770842E0
6.627706590E-1,-4.548983276E-2,9.816227108E-2,9.785401344E0,9.785999419E0
6.647703920E-1,-4.070143029E-2,9.337386489E-2,9.783007622E0,9.783537878E0
6.667701250E-1,-3.591302410E-2,1.005564705E-1,9.783007622E0,9.783590316E0
6.687698580E-1,-2.873042040E-2,1.149216816E-1,9.783007622E0,9.783724779E0
6.707695910E-1,-2.873042040E-2,1.149216816E-1,9.783007622E0,9.783724779E0
6.727693240E-1,-3.351882473E-2,1.029506698E-1,9.792584419E0,9.793182933E0
